Common Name,Scientific Name
Compound sea squirt,Diplosoma listerianum
European sea squirt,Ascidiella aspersa
Japanese skeleton shrimp,Caprella mutica
Oyster thief,Codium fragile
Coffin Box Bryozoan,Membranipora membranacea
Asian Shore Crab,Hemigrapsus sanguineus
Bay scallop,Argopecten irradians
European oyster,Ostrea edulis
Chain Pickerel,Esox niger
Goldfish,Carassius auratus
Koi,Cyprinus rubrofuscus
Spiny-cheek crayfish,Orconectes limosus
Spiny-cheek crayfish,Faxonius limosus
Chinese mystery snail,Cipangopaludina chinensis
Yellow flaotingheart,Nymphoides peltata
Fanwort,Cabomba caroliniana
